"142389495503925248","Salgo de #VeoTV , que día más largoooooo...","NONE"
"142389933619945473","@PauladeLasHeras No te libraras de ayudar me/nos. Besos y gracias","NEU"
"142391947707940864","@marodriguezb Gracias MAR","P"
"142416095012339712","Off pensando en el regalito Sinde, la que se va de la SGAE cuando se van sus corruptos. Intento no sacar conclusiones (lo intento)","N"
"142422495721562112","Conozco a alguien q es adicto al drama! Ja ja ja te suena d algo!","P"
"142424715175280640","RT @FabHddzC: Si amas a alguien, déjalo libre. Si grita ese hombre es mío era @paurubio...","NONE"
"142483342040907776","Toca @crackoviadeTV3 . Grabación dl especial Navideño...Mari crismas!","P"
"142493511634259968","Hoy asisitiré en Madrid a un seminario sobre la Estrategia Española de Seguridad organizado por FAES.","NONE"
"142494476051562496","Buen día todos! Lo primero mandar un abrazo grande a Miguel y a su familia @libertadmontes Hoy podría ser un día para la grandeza humana.","P"
"142496796416016384","Desde el escaño. Todo listo para empezar #endiascomohoy en el Congreso http://t.co/Mu2yIgCb","P"
"142497735814287360","Bdías. EM no se ira de puente. Si vosotros os vais no dejeis de llevar la tableta o el PC y desde luego Orbyt. De momento no digo más.","P"
"142499355360903168","Un sistema económico q recorta dinero para prestaciones sociales y refuerza con billón y medio d euros a los bancos, no necesita repensarse?","P"
"142504935853006848","#programascambiados caca d ajuste","N"
"142507006832553984","Buen viernes","P"
"142509609565962240","“@adri_22_22: #programascambiados es TT gracias a @Carlos_Latre” GRACIAS POR EL BUEN RATO AMIGOS!!;)","P"
"142512151628750849","Noooooos días! Me he dormidoooooo ya estoy en el taxi camino al aeropuerto, en 7 minutos vestida y maleta hecha. Que habré metido Dios mio!?","NONE"
"142512293681438720","Vamos a por el viernes (@ Ayuntamiento de Málaga) [pic]: http://t.co/lzDVsoCu","NONE"
"142513785154969600","La Universidad confía en De la Calle para encarar sus retos más ambiciosos http://t.co/7dzPPija","P"
"142517740517867520","¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG","P"
"142521019171749888","abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ","N"
"142521249246097408","abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB","N"
"142521301054140416","La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas","N"
"142536698188931072","Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE","N"
"142539660835557376","Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad","N"
"142545185308540928","""La verdadera seriedad es cómica"". Niall Binns retrata a Nicanor Parra, premio Cervantes. http://t.co/AxYtQ1by","P"
"142545757445173248","#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.","N"
"142548640685228032","Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria","P"
"142552759953141761","Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy","P"
"142556824292442112","#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!","P"
"142558452257013760","""Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo""","NONE"
"142561346645540864","Open Master Class@javiersolana &Pedro Alonso on ""Global Health Challenges&Global Governance""@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB… .","NONE"
"142569992418897922","3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.","P"
"142574119152648192","Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.","N"
"142574138685526016","Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV","N"
"142579555402653696","No se ha aprobado la ley Sinde","N"
"142579605327450115","se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.","NEU"
